image_path,product_name,category,price,description,image_url
D:\FYP Project\fypapp\abo-images-small (1)\images\small\df\df36f4c1.jpg,Smartphone,Smartphones,699.99,A high-quality smartphone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/df/df36f4c1.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\24\24f54a86.jpg,Mobile Phone,Smartphones,699.99,A high-quality mobile phone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/24/24f54a86.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\09\091cf55c.jpg,Android Phone,Smartphones,699.99,A high-quality android phone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/09/091cf55c.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\5f\5fe180f5.jpg,Android Tablet,Tablets,449.99,A high-quality android tablet — tablets product with excellent build quality and modern design.,/abo-images-small (1)/images/small/5f/5fe180f5.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\56\56415cbc.jpg,Smartphone,Smartphones,699.99,A high-quality smartphone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/56/56415cbc.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\4f\4fd5687f.jpg,Mobile Phone,Smartphones,699.99,A high-quality mobile phone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/4f/4fd5687f.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\2f\2f33b656.jpg,Bowl Set,Dinnerware,49.99,A high-quality bowl set — dinnerware product with excellent build quality and modern design.,/abo-images-small (1)/images/small/2f/2f33b656.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\21\21d01a36.jpg,iPhone,Smartphones,699.99,A high-quality iphone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/21/21d01a36.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\ed\ed5f9432.jpg,Bed Frame,Beds,499.99,A high-quality bed frame — beds product with excellent build quality and modern design.,/abo-images-small (1)/images/small/ed/ed5f9432.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\bd\bde9f018.jpg,Dining Chair,Chairs,199.99,A high-quality dining chair — chairs product with excellent build quality and modern design.,/abo-images-small (1)/images/small/bd/bde9f018.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\1d\1d66c740.jpg,Outdoor Equipment,Outdoors,149.99,A high-quality outdoor equipment — outdoors product with excellent build quality and modern design.,/abo-images-small (1)/images/small/1d/1d66c740.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\ce\ce09f28b.jpg,Mug Set,Dinnerware,49.99,A high-quality mug set — dinnerware product with excellent build quality and modern design.,/abo-images-small (1)/images/small/ce/ce09f28b.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\92\92e0cc1c.jpg,Bed Frame,Beds,499.99,A high-quality bed frame — beds product with excellent build quality and modern design.,/abo-images-small (1)/images/small/92/92e0cc1c.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\0b\0b74f7f2.jpg,Couch,Sofas,799.99,A high-quality couch — sofas product with excellent build quality and modern design.,/abo-images-small (1)/images/small/0b/0b74f7f2.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\0a\0ab00df2.jpg,Side Table,Tables,299.99,A high-quality side table — tables product with excellent build quality and modern design.,/abo-images-small (1)/images/small/0a/0ab00df2.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\1f\1f262bc7.jpg,Earphones,Headphones,149.99,A high-quality earphones — headphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/1f/1f262bc7.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\4d\4df3fa6c.jpg,Tablet,Tablets,449.99,A high-quality tablet — tablets product with excellent build quality and modern design.,/abo-images-small (1)/images/small/4d/4df3fa6c.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\52\529ebfd8.jpg,Non-Stick Pan,Cookware,89.99,A high-quality non-stick pan — cookware product with excellent build quality and modern design.,/abo-images-small (1)/images/small/52/529ebfd8.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\b0\b07d37ba.jpg,Over-Ear Headphones,Headphones,149.99,A high-quality over-ear headphones — headphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/b0/b07d37ba.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\d1\d1d81a76.jpg,Casual Top,Shirts,39.99,A high-quality casual top — shirts product with excellent build quality and modern design.,/abo-images-small (1)/images/small/d1/d1d81a76.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\09\09791d46.jpg,Smartphone,Smartphones,699.99,A high-quality smartphone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/09/09791d46.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\c3\c34799b2.jpg,iPad,Tablets,449.99,A high-quality ipad — tablets product with excellent build quality and modern design.,/abo-images-small (1)/images/small/c3/c34799b2.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\45\459e5a61.jpg,Sectional Sofa,Sofas,799.99,A high-quality sectional sofa — sofas product with excellent build quality and modern design.,/abo-images-small (1)/images/small/45/459e5a61.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\f9\f9b8f97e.jpg,Coffee Maker,Appliances,129.99,A high-quality coffee maker — appliances product with excellent build quality and modern design.,/abo-images-small (1)/images/small/f9/f9b8f97e.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\e2\e24d4ea1.jpg,Smartphone,Smartphones,699.99,A high-quality smartphone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/e2/e24d4ea1.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\f5\f5430dda.jpg,Couch,Sofas,799.99,A high-quality couch — sofas product with excellent build quality and modern design.,/abo-images-small (1)/images/small/f5/f5430dda.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\bd\bdd37511.jpg,Puffer Jacket,Jackets,119.99,A high-quality puffer jacket — jackets product with excellent build quality and modern design.,/abo-images-small (1)/images/small/bd/bdd37511.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\92\925de9fb.jpg,Boots,Shoes,89.99,A high-quality boots — shoes product with excellent build quality and modern design.,/abo-images-small (1)/images/small/92/925de9fb.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\4e\4e722d0d.jpg,Office Chair,Chairs,199.99,A high-quality office chair — chairs product with excellent build quality and modern design.,/abo-images-small (1)/images/small/4e/4e722d0d.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\9c\9c81a7cf.jpg,Coffee Table,Tables,299.99,A high-quality coffee table — tables product with excellent build quality and modern design.,/abo-images-small (1)/images/small/9c/9c81a7cf.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\cd\cd2e7334.jpg,Bowl Set,Dinnerware,49.99,A high-quality bowl set — dinnerware product with excellent build quality and modern design.,/abo-images-small (1)/images/small/cd/cd2e7334.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\60\60ff9e88.jpg,Windbreaker,Jackets,119.99,A high-quality windbreaker — jackets product with excellent build quality and modern design.,/abo-images-small (1)/images/small/60/60ff9e88.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\02\02693459.jpg,Dining Table,Tables,299.99,A high-quality dining table — tables product with excellent build quality and modern design.,/abo-images-small (1)/images/small/02/02693459.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\37\37b176ab.jpg,Microwave,Appliances,129.99,A high-quality microwave — appliances product with excellent build quality and modern design.,/abo-images-small (1)/images/small/37/37b176ab.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\f3\f3d11c17.jpg,Cooking Pot,Cookware,89.99,A high-quality cooking pot — cookware product with excellent build quality and modern design.,/abo-images-small (1)/images/small/f3/f3d11c17.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\93\934d2e24.jpg,Loveseat,Sofas,799.99,A high-quality loveseat — sofas product with excellent build quality and modern design.,/abo-images-small (1)/images/small/93/934d2e24.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\75\75a1d08f.jpg,Headphones,Headphones,149.99,A high-quality headphones — headphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/75/75a1d08f.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\60\60fc4638.jpg,Wireless Earbuds,Headphones,149.99,A high-quality wireless earbuds — headphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/60/60fc4638.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\36\367d7804.jpg,Fitness Equipment,Sports,34.99,A high-quality fitness equipment — sports product with excellent build quality and modern design.,/abo-images-small (1)/images/small/36/367d7804.jpg
