image_path,product_name,category,price,description,image_url
D:\FYP Project\fypapp\abo-images-small (1)\images\small\dd\dda3104e.jpg,Dress,Dresses,59.99,A high-quality dress — dresses product with excellent build quality and modern design.,/abo-images-small (1)/images/small/dd/dda3104e.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\25\2593d7a0.jpg,Mobile Phone,Smartphones,699.99,A high-quality mobile phone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/25/2593d7a0.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\08\0883864e.jpg,Casual Shoes,Shoes,89.99,A high-quality casual shoes — shoes product with excellent build quality and modern design.,/abo-images-small (1)/images/small/08/0883864e.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\60\608ec2ea.jpg,Exercise Gear,Sports,34.99,A high-quality exercise gear — sports product with excellent build quality and modern design.,/abo-images-small (1)/images/small/60/608ec2ea.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\56\566d9ec0.jpg,Headphones,Headphones,149.99,A high-quality headphones — headphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/56/566d9ec0.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\4f\4f1067db.jpg,Running Shoes,Shoes,89.99,A high-quality running shoes — shoes product with excellent build quality and modern design.,/abo-images-small (1)/images/small/4f/4f1067db.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\2f\2f193d0d.jpg,Blender,Appliances,129.99,A high-quality blender — appliances product with excellent build quality and modern design.,/abo-images-small (1)/images/small/2f/2f193d0d.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\22\22a43870.jpg,Platform Bed,Beds,499.99,A high-quality platform bed — beds product with excellent build quality and modern design.,/abo-images-small (1)/images/small/22/22a43870.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\ed\ed214c34.jpg,Dinnerware Set,Dinnerware,49.99,A high-quality dinnerware set — dinnerware product with excellent build quality and modern design.,/abo-images-small (1)/images/small/ed/ed214c34.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\bd\bde03be3.jpg,Mobile Phone,Smartphones,699.99,A high-quality mobile phone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/bd/bde03be3.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\1d\1d5cd1a3.jpg,Android Phone,Smartphones,699.99,A high-quality android phone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/1d/1d5cd1a3.jpg
