image_path,product_name,category,price,description,image_url
D:\FYP Project\fypapp\abo-images-small (1)\images\small\25\2593d7a0.jpg,Mobile Phone,Smartphones,699.99,A high-quality mobile phone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/25/2593d7a0.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\08\0883864e.jpg,Casual Shoes,Shoes,89.99,A high-quality casual shoes — shoes product with excellent build quality and modern design.,/abo-images-small (1)/images/small/08/0883864e.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\60\608ec2ea.jpg,Exercise Gear,Sports,34.99,A high-quality exercise gear — sports product with excellent build quality and modern design.,/abo-images-small (1)/images/small/60/608ec2ea.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\4f\4f1067db.jpg,Running Shoes,Shoes,89.99,A high-quality running shoes — shoes product with excellent build quality and modern design.,/abo-images-small (1)/images/small/4f/4f1067db.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\bd\bde03be3.jpg,Mobile Phone,Smartphones,699.99,A high-quality mobile phone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/bd/bde03be3.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\1d\1d5cd1a3.jpg,Android Phone,Smartphones,699.99,A high-quality android phone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/1d/1d5cd1a3.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\cd\cd214c20.jpg,iPhone,Smartphones,699.99,A high-quality iphone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/cd/cd214c20.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\93\93108127.jpg,Jacket,Jackets,119.99,A high-quality jacket — jackets product with excellent build quality and modern design.,/abo-images-small (1)/images/small/93/93108127.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\0a\0ad54d64.jpg,Mobile Phone,Smartphones,699.99,A high-quality mobile phone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/0a/0ad54d64.jpg
D:\FYP Project\fypapp\abo-images-small (1)\images\small\0a\0a270c14.jpg,Android Phone,Smartphones,699.99,A high-quality android phone — smartphones product with excellent build quality and modern design.,/abo-images-small (1)/images/small/0a/0a270c14.jpg
